movieId,Title,bag_of_words
2716,Ghostbusters,billmurray danaykroyd sigourneyweaver haroldramis ivanreitman A c t i o n   C o m e d y   S c i - F i
110,Braveheart,jamesrobinson seanlawlor sandynelson jamescosmo melgibson A c t i o n   D r a m a   W a r
218,Boys on the Side,whoopigoldberg mary-louiseparker drewbarrymore matthewmcconaughey herbertross C o m e d y   D r a m a
410,Addams Family Values,anjelicahuston rauljulia christopherlloyd joancusack barrysonnenfeld C h i l d r e n   C o m e d y   F a n t a s y
93510,21 Jump Street,"jonahhill channingtatum brielarson davefranco phillord,christophermiller A c t i o n   C o m e d y   C r i m e"
1215,Army of Darkness,brucecampbell embethdavidtz marcusgilbert ianabercrombie samraimi A c t i o n   A d v e n t u r e   C o m e d y   F a n t a s y   H o r r o r
555,True Romance,christianslater patriciaarquette dennishopper valkilmer tonyscott C r i m e   T h r i l l e r
480,Jurassic Park,samneill lauradern jeffgoldblum richardattenborough stevenspielberg A c t i o n   A d v e n t u r e   S c i - F i   T h r i l l e r
6333,X2: X-Men United,patrickstewart hughjackman ianmckellen halleberry bryansinger A c t i o n   A d v e n t u r e   S c i - F i   T h r i l l e r
4011,Snatch,beniciodeltoro dennisfarina vinniejones bradpitt guyritchie C o m e d y   C r i m e   T h r i l l e r
1704,Good Will Hunting,mattdamon benaffleck stellanskarsgård johnmighton gusvansant D r a m a   R o m a n c e
349,Clear and Present Danger,harrisonford willemdafoe annearcher joaquimdealmeida phillipnoyce A c t i o n   C r i m e   D r a m a   T h r i l l e r
588,Aladdin,"scottweinger robinwilliams lindalarkin jonathanfreeman ronclements,johnmusker A d v e n t u r e   A n i m a t i o n   C h i l d r e n   C o m e d y   M u s i c a l"
5506,Blood Work,clinteastwood jeffdaniels anjelicahuston wandadejesus clinteastwood C r i m e   D r a m a   M y s t e r y   T h r i l l e r
519,RoboCop 3,robertjohnburke mariomachado remyryan jodilong freddekker A c t i o n   C r i m e   D r a m a   S c i - F i   T h r i l l e r
1,Toy Story,tomhanks timallen donrickles jimvarney johnlasseter A d v e n t u r e   A n i m a t i o n   C h i l d r e n   C o m e d y   F a n t a s y
596,Pinocchio,"jackbailey melblanc billybletcher donbrodie normanferguson,t.hee,wilfredjackson,jackkinney,hamiltonluske,billroberts,bensharpsteen A n i m a t i o n   C h i l d r e n   F a n t a s y   M u s i c a l"
3114,Toy Story 2,"tomhanks timallen joancusack kelseygrammer johnlasseter,ashbrannon(co-director),leeunkrich(co-director) A d v e n t u r e   A n i m a t i o n   C h i l d r e n   C o m e d y   F a n t a s y"
1907,Mulan,"miguelferrer harveyfierstein fredafohshen juneforay tonybancroft,barrycook A d v e n t u r e   A n i m a t i o n   C h i l d r e n   C o m e d y   D r a m a   M u s i c a l   R o m a n c e"
2526,Meteor,seanconnery nataliewood karlmalden briankeith ronaldneame S c i - F i
348,Bullets Over Broadway,johncusack diannewiest jennifertilly chazzpalminteri woodyallen C o m e d y
1193,One Flew Over the Cuckoo's Nest,jacknicholson louisefletcher willsampson michaelberryman milosforman D r a m a
1515,Volcano,tommyleejones anneheche gabyhoffmann doncheadle mickjackson A c t i o n   D r a m a   T h r i l l e r
316,Stargate,kurtrussell jamesspader jayedavidson vivecalindfors rolandemmerich A c t i o n   A d v e n t u r e   S c i - F i
19,Ace Ventura: When Nature Calls,jimcarrey ianmcneice simoncallow maynardeziashi steveoedekerk C o m e d y
79274,Batman: Under the Red Hood,brucegreenwood jensenackles johndimaggio neilpatrickharris brandonvietti A c t i o n   A n i m a t i o n
5264,Clockstoppers,jessebradford frenchstewart paulagarcés michaelbiehn jonathanfrakes A c t i o n   A d v e n t u r e   S c i - F i   T h r i l l e r
8984,Ocean's Twelve,bradpitt catherinezeta-jones georgeclooney edkross stevensoderbergh A c t i o n   C o m e d y   C r i m e   T h r i l l e r
3977,Charlie's Angels,camerondiaz drewbarrymore lucyliu billmurray mcg A c t i o n   C o m e d y
93326,This Means War,reesewitherspoon chrispine tomhardy tilschweiger mcg A c t i o n   C o m e d y   R o m a n c e
1259,Stand by Me,wilwheaton riverphoenix coreyfeldman jerryo'connell robreiner A d v e n t u r e   D r a m a
6377,Finding Nemo,"albertbrooks ellendegeneres alexandergould willemdafoe andrewstanton,leeunkrich(co-director) A d v e n t u r e   A n i m a t i o n   C h i l d r e n   C o m e d y"
57368,Cloverfield,lizzycaplan jessicalucas t.j.miller michaelstahl-david mattreeves A c t i o n   M y s t e r y   S c i - F i   T h r i l l e r
58998,Forgetting Sarah Marshall,jasonsegel kristenbell milakunis russellbrand nicholasstoller C o m e d y   R o m a n c e
8874,Shaun of the Dead,simonpegg kateashfield nickfrost lucydavis edgarwright C o m e d y   H o r r o r
223,Clerks,briano'halloran jeffanderson marilynghigliotti lisaspoonauer kevinsmith C o m e d y
1188,Strictly Ballroom,paulmercurio taramorice billhunter patthomson bazluhrmann C o m e d y   R o m a n c e
1372,Star Trek VI: The Undiscovered Country,williamshatner leonardnimoy deforestkelley jamesdoohan nicholasmeyer A c t i o n   M y s t e r y   S c i - F i
307,Three Colors: Blue,juliettebinoche benoîtrégent florencepernel charlottevéry krzysztofkieslowski D r a m a
37955,Innocence,güvenkiraç halukbilginer deryaalabora yalcincakmak zekidemirkubuz D r a m a   F a n t a s y   M y s t e r y
